SN,Topic,No. of QA pairs,SN,Topic,No. of QA pairs,SN,Topic,No. of QA pairs
1,3dprinting,"3,752",58,ethereum,"19,748",115,patents,"1,768"
2,academia,"41,913",59,expatriates,"2,598",116,pets,"5,355"
3,ai,"4,479",60,expressionengine,"8,969",117,philosophy,"15,324"
4,android,"28,154",61,fitness,"9,780",118,photo,"36,395"
5,anime,"10,799",62,freelancing,"2,125",119,physics,"143,665"
6,apple,"85,763",63,french,"16,189",120,pm,"9,012"
7,arduino,"15,234",64,gamedev,"47,840",121,poker,"2,007"
8,astronomy,"9,112",65,gaming,"104,189",122,politics,"15,569"
9,aviation,"24,096",66,gardening,"12,156",123,portuguese,"2,641"
10,avp,"4,790",67,genealogy,"2,524",124,pt,"118,510"
11,beer,"1,538",68,german,"22,711",125,puzzling,"47,279"
12,bicycles,"22,680",69,gis,"81,951",126,quant,"11,089"
13,bioinformatics,"2,990",70,graphicdesign,"29,334",127,quantumcomputing,"4,255"
14,biology,"16,675",71,ham,"3,932",128,raspberrypi,"21,082"
15,bitcoin,"18,254",72,hardwarerecs,"1,611",129,retrocomputing,"7,324"
16,blender,"40,649",73,health,"2,979",130,reverseengineering,"5,406"
17,boardgames,"15,431",74,hermeneutics,"12,310",131,robotics,"3,913"
18,bricks,"3,254",75,hinduism,"8,108",132,rpg,"71,807"
19,buddhism,"10,677",76,history,"14,869",133,ru,"255,502"
20,cardano,200,77,homebrew,"8,611",134,rus,"19,719"
21,chemistry,"23,469",78,hsm,"2,449",135,russian,"7,503"
22,chess,10398,79,interpersonal,"9,102",136,salesforce,"74,925"
23,chinese,"13,938",80,iot,"1,221",137,scicomp,"6,889"
24,christianity,"16,374",81,iota,605,138,scifi,"79,318"
25,civicrm,"6,405",82,islam,"6,636",139,security,"60,860"
26,codegolf,"77,112",83,italian,3272,140,sharepoint,"59,959"
27,codereview,"72,874",84,ja,"17,932",141,sitecore,"7,652"
28,coffee,"1,382",85,japanese,"24,735",142,skeptics,"8,163"
29,cogsci,"3,893",86,joomla,"5,340",143,softwareengineering,"107,705"
30,computergraphics,"2,160",87,judaism,"21,962",144,softwarerecs,"7,894"
31,conlang,384,88,korean,"1,639",145,sound,"9,140"
32,cooking,"34,458",89,languagelearning,756,146,space,"14,469"
33,craftcms,9584,90,latin,"4,398",147,spanish,"12,007"
34,crafts,"1,842",91,law,12784,148,sports,"4,896"
35,crypto,"18,532",92,lifehacks,"5,269",149,sqa,"9,703"
36,cs,"27,422",93,linguistics,"6,883",150,stats,"88,609"
37,cseducators,"1,704",94,literature,"2,857",151,stellar,808
38,cstheory,"9,477",95,magento,"63,005",152,sustainability,"1,776"
39,datascience,"14,709",96,martialarts,"3,922",153,tex,"204,027"
40,dba,"68,958",97,materials,952,154,tezos,924
41,devops,"2,922",98,math,1225167,155,tor,"2,034"
42,diy,"44,953",99,matheducators,"4,592",156,travel,"35,211"
43,drones,617,100,mathematica,"72,273",157,tridion,"5,647"
44,drupal,"61,961",101,mechanics,"16,281",158,ukrainian,"1,827"
45,dsp,15630,102,moderators,661,159,unix,"181,224"
46,earthscience,"3,790",103,monero,2978,160,ux,"42,888"
47,ebooks,"1,015",104,money,"33,007",161,vegetarianism,745
48,economics,"6,980",105,movies,"23,511",162,vi,"10,141"
49,electronics,"148,822",106,music,"30,049",163,webapps,"21,774"
50,elementaryos,"3,460",107,musicfans,"2,238",164,webmasters,"26,487"
51,ell,"74,738",108,mythology,"1,523",165,windowsphone,"2,133"
52,emacs,"16,552",109,networkengineering,"15,004",166,woodworking,"3,737"
53,engineering,"6,918",110,opendata,"2,602",167,wordpress,"76,028"
54,english,"155,654",111,opensource,"3,457",168,workplace,"50,721"
55,eosio,"1,289",112,or,"1,508",169,worldbuilding,"83,542"
56,es,"94,288",113,outdoors,"9,427",170,writers,"18,779"
57,esperanto,"1,926",114,parenting,"10,559",,,
