,Category,,,,,,,,,,,
Gender,moderators,iota,islam,eosio,expatriates,buddhism,math,judaism,bitcoin,devops,,
F,5.40,4.00,7.83,4.00,3.84,4.36,2.48,4.38,2.17,1.67,,
M,1.73,0.39,4.23,0.51,1.74,2.30,0.67,2.59,0.66,0.19,,
Family Words Gap,3.67 ,3.61 ,3.60 ,3.49 ,2.10 ,2.06 ,1.81 ,1.79 ,1.51 ,1.48 ,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    dddddssDD                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
