Category,Gender,Count,Ratio,Gender,Count,Ratio,Gender,Count,Ratio,"Total
(Count)","Gap
 (M Ratio - F Ratio)"
hermeneutics,F, 690 ,5.61%,M," 9,012 ",73.21%,Neutral," 2,608 ",21.19%," 12,310 ",67.60%
christianity,F, 835 ,5.10%,M," 11,307 ",69.05%,Neutral," 4,232 ",25.85%," 16,374 ",63.96%
hsm,F, 37 ,1.51%,M," 1,481 ",60.47%,Neutral, 931 ,38.02%," 2,449 ",58.96%
hinduism,F, 732 ,9.03%,M," 5,155 ",63.58%,Neutral," 2,221 ",27.39%," 8,108 ",54.55%
literature,F, 350 ,12.25%,M," 1,829 ",64.02%,Neutral, 678 ,23.73%," 2,857 ",51.77%
mythology,F, 223 ,14.64%,M, 952 ,62.51%,Neutral, 348 ,22.85%," 1,523 ",47.87%
scifi,F," 8,743 ",11.02%,M," 43,690 ",55.08%,Neutral," 26,881 ",33.89%," 79,314 ",44.06%
movies,F," 3,125 ",13.29%,M," 13,184 ",56.08%,Neutral," 7,202 ",30.63%," 23,511 ",42.78%
islam,F, 630 ,9.49%,M," 3,420 ",51.54%,Neutral," 2,586 ",38.97%," 6,636 ",42.04%
judaism,F," 1,180 ",5.37%,M," 9,807 ",44.65%,Neutral," 10,975 ",49.97%," 21,962 ",39.28%
history,F, 802 ,5.39%,M," 6,602 ",44.40%,Neutral," 7,465 ",50.21%," 14,869 ",39.01%
buddhism,F, 354 ,3.32%,M," 4,125 ",38.63%,Neutral," 6,198 ",58.05%," 10,677 ",35.32%
philosophy,F, 450 ,2.94%,M," 5,796 ",37.82%,Neutral," 9,078 ",59.24%," 15,324 ",34.89%
chess,F, 501 ,4.82%,M," 3,891 ",37.42%,Neutral," 6,006 ",57.76%," 10,398 ",32.60%
poker,F, 22 ,1.10%,M, 642 ,31.99%,Neutral," 1,343 ",66.92%," 2,007 ",30.89%
sports,F, 68 ,1.39%,M," 1,551 ",31.68%,Neutral," 3,277 ",66.93%," 4,896 ",30.29%
martialarts,F, 118 ,3.01%,M," 1,297 ",33.07%,Neutral," 2,507 ",63.92%," 3,922 ",30.06%
workplace,F," 2,252 ",4.44%,M," 16,617 ",32.76%,Neutral," 31,852 ",62.80%," 50,721 ",28.32%
politics,F, 673 ,4.32%,M," 4,969 ",31.92%,Neutral," 9,927 ",63.76%," 15,569 ",27.59%
rpg,F," 2,582 ",3.60%,M," 21,941 ",30.56%,Neutral," 47,284 ",65.85%," 71,807 ",26.96%
skeptics,F, 739 ,9.05%,M," 2,779 ",34.04%,Neutral," 4,645 ",56.90%," 8,163 ",24.99%
law,F, 466 ,3.65%,M," 3,313 ",25.92%,Neutral," 9,005 ",70.44%," 12,784 ",22.27%
latin,F, 219 ,4.98%,M," 1,190 ",27.06%,Neutral," 2,989 ",67.96%," 4,398 ",22.08%
writers,F," 2,038 ",10.85%,M," 6,110 ",32.54%,Neutral," 10,631 ",56.61%," 18,779 ",21.68%
moderators,F, 15 ,2.27%,M, 150 ,22.69%,Neutral, 496 ,75.04%, 661 ,20.42%
spanish,F, 392 ,3.26%,M," 2,789 ",23.23%,Neutral," 8,826 ",73.51%," 12,007 ",19.96%
worldbuilding,F," 3,496 ",4.18%,M," 19,927 ",23.85%,Neutral," 60,119 ",71.96%," 83,542 ",19.67%
german,F, 975 ,4.29%,M," 5,424 ",23.88%,Neutral," 16,312 ",71.82%," 22,711 ",19.59%
academia,F," 1,410 ",3.36%,M," 9,351 ",22.31%,Neutral," 31,152 ",74.33%," 41,913 ",18.95%
freelancing,F, 51 ,2.40%,M, 450 ,21.18%,Neutral," 1,624 ",76.42%," 2,125 ",18.78%
es,F, 28 ,0.03%,M," 16,508 ",17.51%,Neutral," 77,748 ",82.46%," 94,284 ",17.48%
musicfans,F, 99 ,4.42%,M, 489 ,21.85%,Neutral," 1,650 ",73.73%," 2,238 ",17.43%
pm,F, 116 ,1.29%,M," 1,611 ",17.88%,Neutral," 7,285 ",80.84%," 9,012 ",16.59%
opensource,F, 31 ,0.90%,M, 582 ,16.84%,Neutral," 2,844 ",82.27%," 3,457 ",15.94%
networkengineering,F, 16 ,0.11%,M," 2,403 ",16.02%,Neutral," 12,585 ",83.88%," 15,004 ",15.91%
boardgames,F, 361 ,2.34%,M," 2,812 ",18.22%,Neutral," 12,258 ",79.44%," 15,431 ",15.88%
italian,F, 728 ,22.25%,M, 218 ,6.66%,Neutral," 2,326 ",71.09%," 3,272 ",15.59%
security,F, 604 ,0.99%,M," 9,541 ",15.68%,Neutral," 50,715 ",83.33%," 60,860 ",14.68%
cogsci,F, 182 ,4.68%,M, 732 ,18.80%,Neutral," 2,979 ",76.52%," 3,893 ",14.13%
genealogy,F, 314 ,12.44%,M, 664 ,26.31%,Neutral," 1,546 ",61.25%," 2,524 ",13.87%
puzzling,F," 1,811 ",3.83%,M," 8,105 ",17.14%,Neutral," 37,363 ",79.03%," 47,279 ",13.31%
conlang,F, 16 ,4.17%,M, 66 ,17.19%,Neutral, 302 ,78.65%, 384 ,13.02%
ell,F," 5,509 ",7.37%,M," 15,185 ",20.32%,Neutral," 54,044 ",72.31%," 74,738 ",12.95%
matheducators,F, 125 ,2.72%,M, 716 ,15.59%,Neutral," 3,751 ",81.69%," 4,592 ",12.87%
cseducators,F, 58 ,3.40%,M, 260 ,15.26%,Neutral," 1,386 ",81.34%," 1,704 ",11.85%
music,F, 389 ,1.29%,M," 3,866 ",12.87%,Neutral," 25,794 ",85.84%," 30,049 ",11.57%
english,F," 7,883 ",5.06%,M," 25,588 ",16.44%,Neutral," 122,179 ",78.50%," 155,650 ",11.37%
devops,F, 6 ,0.21%,M, 325 ,11.12%,Neutral," 2,591 ",88.67%," 2,922 ",10.92%
astronomy,F, 46 ,0.50%,M," 1,036 ",11.37%,Neutral," 8,030 ",88.13%," 9,112 ",10.86%
gaming,F," 2,762 ",2.65%,M," 13,961 ",13.40%,Neutral," 87,444 ",83.95%," 104,167 ",10.75%
softwareengineering,F, 589 ,0.55%,M," 11,711 ",10.87%,Neutral," 95,405 ",88.58%," 107,705 ",10.33%
retrocomputing,F, 41 ,0.56%,M, 772 ,10.54%,Neutral," 6,511 ",88.90%," 7,324 ",9.98%
economics,F, 178 ,2.55%,M, 865 ,12.39%,Neutral," 5,937 ",85.06%," 6,980 ",9.84%
french,F, 961 ,5.94%,M," 2,553 ",15.77%,Neutral," 12,675 ",78.29%," 16,189 ",9.83%
linguistics,F, 332 ,4.82%,M," 1,006 ",14.62%,Neutral," 5,545 ",80.56%," 6,883 ",9.79%
crypto,F, 336 ,1.81%,M," 2,150 ",11.60%,Neutral," 16,046 ",86.59%," 18,532 ",9.79%
unix,F, 203 ,0.11%,M," 17,933 ",9.90%,Neutral," 163,087 ",89.99%," 181,223 ",9.78%
aviation,F, 155 ,0.64%,M," 2,480 ",10.29%,Neutral," 21,461 ",89.06%," 24,096 ",9.65%
iota,F, 1 ,0.17%,M, 56 ,9.26%,Neutral, 548 ,90.58%, 605 ,9.09%
patents,F, 9 ,0.51%,M, 164 ,9.28%,Neutral," 1,595 ",90.21%," 1,768 ",8.77%
space,F, 118 ,0.82%,M," 1,358 ",9.39%,Neutral," 12,993 ",89.80%," 14,469 ",8.57%
webmasters,F, 78 ,0.29%,M," 2,347 ",8.86%,Neutral," 24,062 ",90.84%," 26,487 ",8.57%
chinese,F, 562 ,4.03%,M," 1,732 ",12.43%,Neutral," 11,644 ",83.54%," 13,938 ",8.39%
codereview,F, 199 ,0.27%,M," 6,283 ",8.62%,Neutral," 66,392 ",91.11%," 72,874 ",8.35%
cstheory,F, 43 ,0.45%,M, 799 ,8.43%,Neutral," 8,635 ",91.12%," 9,477 ",7.98%
tor,F, 6 ,0.29%,M, 166 ,8.16%,Neutral," 1,862 ",91.54%," 2,034 ",7.87%
fitness,F, 251 ,2.57%,M," 1,015 ",10.38%,Neutral," 8,514 ",87.06%," 9,780 ",7.81%
ai,F, 19 ,0.42%,M, 367 ,8.19%,Neutral," 4,093 ",91.38%," 4,479 ",7.77%
bitcoin,F, 119 ,0.65%,M," 1,523 ",8.34%,Neutral," 16,612 ",91.00%," 18,254 ",7.69%
ham,F, 23 ,0.58%,M, 321 ,8.16%,Neutral," 3,588 ",91.25%," 3,932 ",7.58%
japanese,F," 1,302 ",5.26%,M," 3,120 ",12.61%,Neutral," 20,313 ",82.12%," 24,735 ",7.35%
monero,F, 19 ,0.64%,M, 236 ,7.92%,Neutral," 2,723 ",91.44%," 2,978 ",7.29%
languagelearning,F, 34 ,4.50%,M, 89 ,11.77%,Neutral, 633 ,83.73%, 756 ,7.28%
korean,F, 83 ,5.06%,M, 202 ,12.32%,Neutral," 1,354 ",82.61%," 1,639 ",7.26%
money,F," 1,195 ",3.62%,M," 3,583 ",10.86%,Neutral," 28,229 ",85.52%," 33,007 ",7.23%
outdoors,F, 356 ,3.78%,M," 1,030 ",10.93%,Neutral," 8,041 ",85.30%," 9,427 ",7.15%
gamedev,F, 117 ,0.24%,M," 3,502 ",7.32%,Neutral," 44,220 ",92.44%," 47,839 ",7.08%
sound,F, 78 ,0.85%,M, 724 ,7.92%,Neutral," 8,336 ",91.22%," 9,138 ",7.07%
russian,F, 357 ,4.76%,M, 887 ,11.82%,Neutral," 6,259 ",83.42%," 7,503 ",7.06%
ebooks,F, 9 ,0.89%,M, 80 ,7.88%,Neutral, 926 ,91.23%," 1,015 ",7.00%
ux,F, 566 ,1.32%,M," 3,519 ",8.21%,Neutral," 38,801 ",90.47%," 42,886 ",6.89%
computergraphics,F, 1 ,0.05%,M, 146 ,6.76%,Neutral," 2,013 ",93.19%," 2,160 ",6.71%
quant,F, 31 ,0.28%,M, 768 ,6.93%,Neutral," 10,290 ",92.79%," 11,089 ",6.65%
